nomeCliente,emocaoCliente,statusCliente,valor,foiEmbora,valorTotal,quantidadeClientes
Cassi Waters,feliz,depositando,6620.33,N,163485.1799999999,10
Andrew McDermott,feliz,sacando,17646.38,N,145838.7999999999,10
Andrew McDermott,feliz,depositando,26881.19,N,172719.9899999999,10
Ada Ruecker,feliz,sacando,4095.62,N,168624.3699999999,10
Ada Ruecker,feliz,depositando,18456.87,N,187081.2399999999,10
Andrew McDermott,feliz,sacando,27879.8,N,159201.43999999992,10
Andrew McDermott,feliz,depositando,32151.29,N,191352.72999999992,10
Cassi Waters,feliz,sacando,19739.39,N,171613.3399999999,10
Cassi Waters,feliz,depositando,2294.61,N,173907.9499999999,10
Shawnda Lynch Sr.,feliz,sacando,4562.74,N,169345.2099999999,10
Shawnda Lynch Sr.,feliz,depositando,31898.95,N,201244.15999999992,10
Mr. Huong O'Hara,feliz,sacando,3204.6,N,198039.5599999999,10
Mr. Huong O'Hara,feliz,depositando,13265.6,N,211305.15999999992,10
Rolf Windler,feliz,sacando,14830.44,N,196474.7199999999,10
Rolf Windler,feliz,depositando,27523.92,N,223998.6399999999,10
Mitchel Sawayn,feliz,sacando,17484.58,N,206514.05999999988,10
Mitchel Sawayn,feliz,depositando,19328.0,N,225842.05999999988,10
Rachelle Kris,feliz,sacando,23215.73,N,202626.32999999987,10
Rachelle Kris,feliz,depositando,3235.85,N,205862.17999999988,10
Ms. Kenneth Mosciski,feliz,sacando,167.98,N,205694.19999999987,10
Ms. Kenneth Mosciski,feliz,depositando,25874.35,N,231568.54999999987,10
Annemarie Weissnat DDS,feliz,sacando,9633.84,N,221934.70999999988,10
Annemarie Weissnat DDS,feliz,depositando,7823.38,N,229758.08999999988,10
Ms. Kenneth Mosciski,feliz,sacando,12374.56,N,217383.52999999988,10
Ms. Kenneth Mosciski,feliz,depositando,730.0,N,218113.52999999988,10
Rachelle Kris,feliz,sacando,26728.53,N,191384.99999999988,10
Rachelle Kris,feliz,depositando,22191.14,N,213576.1399999999,10
Mitchel Sawayn,feliz,sacando,22253.4,N,191322.7399999999,10
Mitchel Sawayn,feliz,depositando,29322.57,N,220645.3099999999,10
Rolf Windler,feliz,sacando,13770.13,N,206875.1799999999,10
Rolf Windler,feliz,depositando,17287.01,N,224162.18999999992,10
Mr. Huong O'Hara,feliz,sacando,41186.69,N,182975.4999999999,10
Mr. Huong O'Hara,feliz,depositando,50905.58,N,233881.0799999999,10
Shawnda Lynch Sr.,feliz,sacando,10290.81,N,223590.2699999999,10
Shawnda Lynch Sr.,feliz,depositando,21988.47,N,245578.7399999999,10
Cassi Waters,feliz,sacando,13736.4,N,231842.3399999999,10
Cassi Waters,feliz,depositando,33775.51,N,265617.8499999999,10
Andrew McDermott,feliz,sacando,22921.48,N,242696.3699999999,10
Andrew McDermott,feliz,depositando,11232.76,N,253929.12999999992,10
Ada Ruecker,feliz,sacando,4314.65,N,249614.47999999992,10
Ada Ruecker,feliz,depositando,16765.53,N,266380.0099999999,10
Andrew McDermott,feliz,sacando,32735.81,N,233644.1999999999,10
Andrew McDermott,feliz,depositando,60356.87,N,294001.0699999999,10
Cassi Waters,feliz,sacando,47920.48,N,246080.58999999988,10
Cassi Waters,feliz,depositando,53457.66,N,299538.2499999999,10
Shawnda Lynch Sr.,feliz,sacando,37484.71,N,262053.5399999999,10
Shawnda Lynch Sr.,feliz,depositando,18073.62,N,280127.1599999999,10
Mr. Huong O'Hara,feliz,sacando,20382.38,N,259744.7799999999,10
Mr. Huong O'Hara,feliz,depositando,52971.3,N,312716.0799999999,10
Rolf Windler,feliz,sacando,29033.14,N,283682.9399999999,10
Rolf Windler,feliz,depositando,45801.32,N,329484.2599999999,10
Mitchel Sawayn,feliz,sacando,37828.77,N,291655.4899999999,10
Mitchel Sawayn,feliz,depositando,21289.1,N,312944.58999999985,10
Rachelle Kris,feliz,sacando,26113.55,N,286831.03999999986,10
Rachelle Kris,feliz,depositando,38078.43,N,324909.46999999986,10
Ms. Kenneth Mosciski,feliz,sacando,2577.0,N,322332.46999999986,10
Ms. Kenneth Mosciski,feliz,depositando,8438.69,N,330771.15999999986,10
Annemarie Weissnat DDS,feliz,sacando,33158.11,N,297613.0499999999,10
Annemarie Weissnat DDS,feliz,depositando,25608.5,N,323221.5499999999,10
Ms. Kenneth Mosciski,feliz,sacando,62128.47,N,261093.07999999987,10
Ms. Kenneth Mosciski,feliz,depositando,62693.16,N,323786.2399999999,10
Rachelle Kris,feliz,sacando,41096.47,N,282689.7699999999,10
Rachelle Kris,feliz,depositando,59530.84,N,342220.60999999987,10
Mitchel Sawayn,feliz,sacando,25443.73,N,316776.8799999999,10
Mitchel Sawayn,feliz,depositando,10228.57,N,327005.4499999999,10
Rolf Windler,feliz,sacando,1969.38,N,325036.0699999999,10
Rolf Windler,feliz,depositando,76251.11,N,401287.1799999999,10
Mr. Huong O'Hara,feliz,sacando,34764.95,N,366522.22999999986,10
Mr. Huong O'Hara,feliz,depositando,11.08,N,366533.3099999999,10
Shawnda Lynch Sr.,feliz,sacando,21579.39,N,344953.91999999987,10
Shawnda Lynch Sr.,feliz,depositando,69837.15,N,414791.06999999983,10
Cassi Waters,feliz,sacando,10538.26,N,404252.8099999998,10
Cassi Waters,feliz,depositando,13905.18,N,418157.9899999998,10
Andrew McDermott,feliz,sacando,3407.13,N,414750.8599999998,10
Andrew McDermott,feliz,depositando,70431.7,N,485182.5599999998,10
Cassi Waters,feliz,sacando,81666.62,N,403515.9399999998,10
Cassi Waters,feliz,depositando,76179.84,N,479695.7799999998,10
Shawnda Lynch Sr.,feliz,sacando,6699.66,N,472996.1199999998,10
Shawnda Lynch Sr.,feliz,depositando,22608.48,N,495604.5999999998,10
Mr. Huong O'Hara,feliz,sacando,3825.92,N,491778.6799999998,10
Mr. Huong O'Hara,feliz,depositando,74156.56,N,565935.2399999998,10
Rolf Windler,feliz,sacando,49456.49,N,516478.74999999977,10
Rolf Windler,feliz,depositando,27939.19,N,544417.9399999997,10
Mitchel Sawayn,feliz,sacando,25924.44,N,518493.4999999997,10
Mitchel Sawayn,feliz,depositando,69738.9,N,588232.3999999997,10
Rachelle Kris,feliz,sacando,46985.87,N,541246.5299999997,10
Rachelle Kris,feliz,depositando,9958.08,N,551204.6099999996,10
Ms. Kenneth Mosciski,feliz,sacando,50863.73,N,500340.87999999966,10
Ms. Kenneth Mosciski,feliz,depositando,41050.1,N,541390.9799999996,10
Annemarie Weissnat DDS,feliz,sacando,948.31,N,540442.6699999996,10
Annemarie Weissnat DDS,feliz,depositando,80585.65,N,621028.3199999996,10
Ms. Kenneth Mosciski,feliz,sacando,19830.68,N,601197.6399999995,10
Ms. Kenneth Mosciski,feliz,depositando,127519.87,N,728717.5099999995,10
Rachelle Kris,feliz,sacando,71234.53,N,657482.9799999995,10
Rachelle Kris,feliz,depositando,73917.31,N,731400.2899999996,10
Mitchel Sawayn,feliz,sacando,62267.1,N,669133.1899999996,10
Mitchel Sawayn,feliz,depositando,70799.01,N,739932.1999999996,10
Rolf Windler,feliz,sacando,21851.95,N,718080.2499999997,10
Rolf Windler,feliz,depositando,75376.45,N,793456.6999999996,10
Mr. Huong O'Hara,feliz,sacando,46240.96,N,747215.7399999996,10
Mr. Huong O'Hara,feliz,depositando,88084.47,N,835300.2099999996,10
Shawnda Lynch Sr.,feliz,sacando,37325.66,N,797974.5499999996,10
Shawnda Lynch Sr.,feliz,depositando,13171.97,N,811146.5199999996,10
Cassi Waters,feliz,sacando,45769.0,N,765377.5199999996,10
Cassi Waters,feliz,depositando,93557.21,N,858934.7299999995,10
Ada Ruecker,paciente,aguardando,38123.47,N,858934.7299999995,10
Ada Ruecker,paciente,sacando,38123.47,N,820811.2599999995,10
Ada Ruecker,feliz,depositando,34771.24,N,855582.4999999995,10
Andrew McDermott,feliz,sacando,17545.75,N,838036.7499999995,10
Andrew McDermott,feliz,depositando,58403.24,N,896439.9899999995,10
Ada Ruecker,feliz,sacando,114431.04,N,782008.9499999995,10
Ada Ruecker,feliz,depositando,88117.83,N,870126.7799999994,10
Cassi Waters,feliz,sacando,113304.93,N,756821.8499999994,10
Cassi Waters,feliz,depositando,46887.68,N,803709.5299999994,10
Shawnda Lynch Sr.,feliz,sacando,64284.15,N,739425.3799999994,10
Shawnda Lynch Sr.,feliz,depositando,92618.51,N,832043.8899999994,10
Mr. Huong O'Hara,feliz,sacando,150123.58,N,681920.3099999995,10
Mr. Huong O'Hara,feliz,depositando,206046.2,N,887966.5099999995,10
Rolf Windler,feliz,sacando,3135.78,N,884830.7299999995,10
Rolf Windler,feliz,depositando,176514.23,N,1061344.9599999995,10
Mitchel Sawayn,feliz,sacando,39347.21,N,1021997.7499999995,10
Mitchel Sawayn,feliz,depositando,91245.82,N,1113243.5699999996,10
Rachelle Kris,feliz,sacando,132020.27,N,981223.2999999996,10
Rachelle Kris,feliz,depositando,101411.49,N,1082634.7899999996,10
Ms. Kenneth Mosciski,feliz,sacando,82542.38,N,1000092.4099999996,10
Ms. Kenneth Mosciski,feliz,depositando,18012.05,N,1018104.4599999996,10
Annemarie Weissnat DDS,feliz,sacando,90343.2,N,927761.2599999997,10
Annemarie Weissnat DDS,feliz,depositando,98997.92,N,1026759.1799999997,10
Ms. Kenneth Mosciski,feliz,sacando,140019.95,N,886739.2299999997,10
Ms. Kenneth Mosciski,feliz,depositando,249582.94,N,1136322.1699999997,10
Rachelle Kris,feliz,sacando,83426.86,N,1052895.3099999996,10
Rachelle Kris,feliz,depositando,187620.04,N,1240515.3499999996,10
Mitchel Sawayn,feliz,sacando,85069.36,N,1155445.9899999995,10
Mitchel Sawayn,feliz,depositando,71915.79,N,1227361.7799999996,10
Rolf Windler,feliz,sacando,90852.77,N,1136509.0099999995,10
Rolf Windler,feliz,depositando,187452.1,N,1323961.1099999996,10
Mr. Huong O'Hara,feliz,sacando,130036.7,N,1193924.4099999997,10
Mr. Huong O'Hara,feliz,depositando,149869.87,N,1343794.2799999998,10
Shawnda Lynch Sr.,feliz,sacando,26173.7,N,1317620.5799999998,10
Shawnda Lynch Sr.,feliz,depositando,170507.54,N,1488128.1199999999,10
Cassi Waters,feliz,sacando,51222.51,N,1436905.6099999999,10
Cassi Waters,feliz,depositando,50052.1,N,1486957.71,10
Ada Ruecker,feliz,sacando,15571.78,N,1471385.93,10
Ada Ruecker,feliz,depositando,89811.44,N,1561197.3699999999,10
Andrew McDermott,feliz,sacando,38172.64,N,1523024.73,10
Andrew McDermott,feliz,depositando,160511.16,N,1683535.89,10
Ada Ruecker,feliz,sacando,11178.93,N,1672356.96,10
Ada Ruecker,feliz,depositando,262879.05,N,1935236.01,10
Cassi Waters,feliz,sacando,16549.82,N,1918686.19,10
Cassi Waters,feliz,depositando,116333.95,N,2035020.14,10
Shawnda Lynch Sr.,feliz,sacando,242776.44,N,1792243.7,10
Shawnda Lynch Sr.,feliz,depositando,338083.96,N,2130327.66,10
Mr. Huong O'Hara,feliz,sacando,86012.66,N,2044315.0000000002,10
Mr. Huong O'Hara,feliz,depositando,260577.1,N,2304892.1,10
Rolf Windler,feliz,sacando,204986.81,N,2099905.29,10
Rolf Windler,feliz,depositando,113555.97,N,2213461.2600000002,10
Mitchel Sawayn,feliz,sacando,148499.06,N,2064962.2000000002,10
Mitchel Sawayn,feliz,depositando,168486.0,N,2233448.2,10
Rachelle Kris,feliz,sacando,62470.14,N,2170978.06,10
Rachelle Kris,feliz,depositando,251414.55,N,2422392.61,10
Ms. Kenneth Mosciski,feliz,sacando,61089.74,N,2361302.8699999996,10
Ms. Kenneth Mosciski,feliz,depositando,42199.03,N,2403501.8999999994,10
Annemarie Weissnat DDS,feliz,sacando,199534.99,N,2203966.909999999,10
Annemarie Weissnat DDS,feliz,depositando,94432.46,N,2298399.369999999,10
Ms. Kenneth Mosciski,feliz,sacando,81031.16,N,2217368.209999999,10
Ms. Kenneth Mosciski,feliz,depositando,151313.24,N,2368681.4499999993,10
Rachelle Kris,feliz,sacando,311147.69,N,2057533.7599999993,10
Rachelle Kris,feliz,depositando,259455.36,N,2316989.119999999,10
Mitchel Sawayn,feliz,sacando,433776.95,N,1883212.1699999992,10
Mitchel Sawayn,feliz,depositando,163361.62,N,2046573.789999999,10
Rolf Windler,feliz,sacando,424629.6,N,1621944.189999999,10
Rolf Windler,feliz,depositando,72939.51,N,1694883.699999999,10
Mr. Huong O'Hara,feliz,sacando,131615.3,N,1563268.399999999,10
Mr. Huong O'Hara,feliz,depositando,516979.86,N,2080248.2599999988,10
Shawnda Lynch Sr.,feliz,sacando,196814.75,N,1883433.5099999988,10
Shawnda Lynch Sr.,feliz,depositando,337865.94,N,2221299.449999999,10
Cassi Waters,feliz,sacando,401859.4,N,1819440.0499999989,10
Cassi Waters,feliz,depositando,463616.74,N,2283056.789999999,10
Ada Ruecker,feliz,sacando,279352.96,N,2003703.8299999991,10
Ada Ruecker,feliz,depositando,33959.24,N,2037663.0699999991,10
Andrew McDermott,feliz,sacando,285602.87,N,1752060.1999999993,10
Andrew McDermott,feliz,depositando,211321.26,N,1963381.4599999993,10
Ada Ruecker,feliz,sacando,166979.36,N,1796402.0999999992,10
Ada Ruecker,feliz,depositando,196758.27,N,1993160.3699999992,10
Cassi Waters,feliz,sacando,21307.02,N,1971853.3499999992,10
Cassi Waters,feliz,depositando,202515.5,N,2174368.849999999,10
Shawnda Lynch Sr.,feliz,sacando,293671.93,N,1880696.9199999992,10
Shawnda Lynch Sr.,feliz,depositando,533316.33,N,2414013.249999999,10
Mr. Huong O'Hara,feliz,sacando,170782.6,N,2243230.649999999,10
Mr. Huong O'Hara,feliz,depositando,339917.44,N,2583148.089999999,10
Rolf Windler,feliz,sacando,223382.9,N,2359765.189999999,10
Rolf Windler,feliz,depositando,132453.21,N,2492218.399999999,10
Mitchel Sawayn,feliz,sacando,244450.35,N,2247768.049999999,10
Mitchel Sawayn,feliz,depositando,199319.37,N,2447087.419999999,10
Rachelle Kris,feliz,sacando,206373.74,N,2240713.679999999,10
Rachelle Kris,feliz,depositando,537609.94,N,2778323.6199999987,10
Ms. Kenneth Mosciski,feliz,sacando,102163.04,N,2676160.5799999987,10
Ms. Kenneth Mosciski,feliz,depositando,509773.15,N,3185933.7299999986,10
Annemarie Weissnat DDS,feliz,sacando,4138.4,N,3181795.3299999987,10
Annemarie Weissnat DDS,feliz,depositando,382886.22,N,3564681.549999999,10
Ms. Kenneth Mosciski,feliz,sacando,406071.53,N,3158610.0199999986,10
Ms. Kenneth Mosciski,feliz,depositando,130500.99,N,3289111.009999999,10
Rachelle Kris,feliz,sacando,256411.67,N,3032699.339999999,10
Rachelle Kris,feliz,depositando,491172.52,N,3523871.859999999,10
Mitchel Sawayn,feliz,sacando,449753.45,N,3074118.4099999988,10
Mitchel Sawayn,feliz,depositando,99155.48,N,3173273.8899999987,10
Rolf Windler,feliz,sacando,272485.97,N,2900787.919999999,10
Rolf Windler,feliz,depositando,13797.62,N,2914585.539999999,10
Mr. Huong O'Hara,feliz,sacando,99989.16,N,2814596.379999999,10
Mr. Huong O'Hara,feliz,depositando,85018.51,N,2899614.8899999987,10
Shawnda Lynch Sr.,feliz,sacando,284973.52,N,2614641.3699999987,10
Shawnda Lynch Sr.,feliz,depositando,117580.63,N,2732221.9999999986,10
Cassi Waters,feliz,sacando,22275.37,N,2709946.6299999985,10
Cassi Waters,feliz,depositando,538159.74,N,3248106.3699999982,10
Ada Ruecker,feliz,sacando,28363.19,N,3219743.1799999983,10
Ada Ruecker,feliz,depositando,202931.11,N,3422674.289999998,10
Andrew McDermott,feliz,sacando,54494.86,N,3368179.4299999983,10
Andrew McDermott,feliz,depositando,172740.23,N,3540919.6599999983,10
Ada Ruecker,feliz,sacando,467655.23,N,3073264.4299999983,10
Ada Ruecker,feliz,depositando,780078.0,N,3853342.4299999983,10
Cassi Waters,feliz,sacando,460909.05,N,3392433.3799999985,10
Cassi Waters,feliz,depositando,508708.17,N,3901141.5499999984,10
Shawnda Lynch Sr.,feliz,sacando,357090.7,N,3544050.849999998,10
Shawnda Lynch Sr.,feliz,depositando,237689.79,N,3781740.6399999983,10
Mr. Huong O'Hara,feliz,sacando,353550.99,N,3428189.6499999985,10
Mr. Huong O'Hara,feliz,depositando,293727.92,N,3721917.5699999984,10
Rolf Windler,feliz,sacando,525084.09,N,3196833.4799999986,10
Rolf Windler,feliz,depositando,719393.67,N,3916227.1499999985,10
Mitchel Sawayn,feliz,sacando,103788.93,N,3812438.2199999983,10
Mitchel Sawayn,feliz,depositando,578927.49,N,4391365.709999998,10
Rachelle Kris,feliz,sacando,346375.2,N,4044990.509999998,10
Rachelle Kris,feliz,depositando,396520.91,N,4441511.419999998,10
Ms. Kenneth Mosciski,feliz,sacando,34835.17,N,4406676.249999998,10
Ms. Kenneth Mosciski,feliz,depositando,233058.38,N,4639734.629999998,10
Annemarie Weissnat DDS,feliz,sacando,112700.07,N,4527034.559999998,10
Annemarie Weissnat DDS,feliz,depositando,297589.56,N,4824624.119999997,10
Ms. Kenneth Mosciski,feliz,sacando,221933.5,N,4602690.619999997,10
Ms. Kenneth Mosciski,feliz,depositando,677561.67,N,5280252.289999997,10
Rachelle Kris,feliz,sacando,457724.55,N,4822527.739999997,10
Rachelle Kris,feliz,depositando,1048652.0,N,5871179.739999997,10
Mitchel Sawayn,feliz,sacando,532000.23,N,5339179.509999998,10
Mitchel Sawayn,feliz,depositando,739274.75,N,6078454.259999998,10
Rolf Windler,feliz,sacando,142034.22,N,5936420.039999998,10
Rolf Windler,feliz,depositando,225983.99,N,6162404.029999998,10
Mr. Huong O'Hara,feliz,sacando,541425.18,N,5620978.849999999,10
Mr. Huong O'Hara,feliz,depositando,189339.77,N,5810318.619999998,10
Shawnda Lynch Sr.,feliz,sacando,477509.7,N,5332808.919999998,10
Shawnda Lynch Sr.,feliz,depositando,786373.56,N,6119182.479999999,10
Cassi Waters,feliz,sacando,69965.31,N,6049217.169999999,10
Cassi Waters,feliz,depositando,901337.49,N,6950554.659999999,10
Ada Ruecker,feliz,sacando,531214.5,N,6419340.159999999,10
Ada Ruecker,feliz,depositando,508830.68,N,6928170.839999999,10
Andrew McDermott,feliz,sacando,481584.99,N,6446585.849999999,10
Andrew McDermott,feliz,depositando,409455.1,N,6856040.949999998,10
Ada Ruecker,feliz,sacando,761146.08,N,6094894.869999998,10
Ada Ruecker,feliz,depositando,737011.54,N,6831906.409999998,10
Cassi Waters,feliz,sacando,88444.14,N,6743462.269999999,10
Cassi Waters,feliz,depositando,189142.57,N,6932604.839999999,10
Shawnda Lynch Sr.,feliz,sacando,457184.49,N,6475420.349999999,10
Shawnda Lynch Sr.,feliz,depositando,535433.2,N,7010853.549999999,10
Mr. Huong O'Hara,feliz,sacando,908533.46,N,6102320.089999999,10
Mr. Huong O'Hara,feliz,depositando,434389.47,N,6536709.559999999,10
Rolf Windler,feliz,sacando,823212.44,N,5713497.119999999,10
Rolf Windler,feliz,depositando,4917.74,N,5718414.859999999,10
Mitchel Sawayn,feliz,sacando,647883.52,N,5070531.34,10
Mitchel Sawayn,feliz,depositando,1349952.55,N,6420483.89,10
Rachelle Kris,feliz,sacando,1097322.57,N,5323161.319999999,10
Rachelle Kris,feliz,depositando,125774.12,N,5448935.4399999995,10
Ms. Kenneth Mosciski,feliz,sacando,839182.32,N,4609753.119999999,10
Ms. Kenneth Mosciski,feliz,depositando,326832.79,N,4936585.909999999,10
Annemarie Weissnat DDS,feliz,sacando,174461.83,N,4762124.079999999,10
Annemarie Weissnat DDS,feliz,depositando,496861.27,N,5258985.35,10
Ms. Kenneth Mosciski,feliz,sacando,714673.98,N,4544311.369999999,10
Ms. Kenneth Mosciski,feliz,depositando,1202769.73,N,5747081.1,10
Rachelle Kris,feliz,sacando,691299.17,N,5055781.93,10
Rachelle Kris,feliz,depositando,545723.76,N,5601505.6899999995,10
Mitchel Sawayn,feliz,sacando,1017233.76,N,4584271.93,10
Mitchel Sawayn,feliz,depositando,527312.87,N,5111584.8,10
Rolf Windler,feliz,sacando,381246.77,N,4730338.029999999,10
Rolf Windler,feliz,depositando,416294.85,N,5146632.879999999,10
Mr. Huong O'Hara,feliz,sacando,215730.99,N,4930901.889999999,10
Mr. Huong O'Hara,feliz,depositando,930473.5,N,5861375.389999999,10
Shawnda Lynch Sr.,feliz,sacando,632996.9,N,5228378.489999998,10
Shawnda Lynch Sr.,feliz,depositando,921251.93,N,6149630.419999998,10
Cassi Waters,feliz,sacando,135324.98,N,6014305.439999998,10
Cassi Waters,feliz,depositando,562152.49,N,6576457.929999998,10
Ada Ruecker,feliz,sacando,768940.81,N,5807517.119999997,10
Ada Ruecker,feliz,depositando,1231544.51,N,7039061.629999997,10
Andrew McDermott,feliz,sacando,463307.32,N,6575754.309999997,10
Andrew McDermott,feliz,depositando,681915.31,N,7257669.619999997,10
Ada Ruecker,feliz,sacando,263688.58,N,6993981.039999997,10
Ada Ruecker,feliz,depositando,1743565.49,N,8737546.529999997,10
Cassi Waters,feliz,sacando,291300.71,N,8446245.819999997,10
Cassi Waters,feliz,depositando,1205802.26,N,9652048.079999996,10
Shawnda Lynch Sr.,feliz,sacando,672255.04,N,8979793.039999995,10
Shawnda Lynch Sr.,feliz,depositando,1218050.02,N,1.0197843059999995E7,10
Mr. Huong O'Hara,feliz,sacando,1160324.61,N,9037518.449999996,10
Mr. Huong O'Hara,feliz,depositando,593870.39,N,9631388.839999996,10
Rolf Windler,feliz,sacando,457506.91,N,9173881.929999996,10
Rolf Windler,feliz,depositando,1049993.96,N,1.0223875889999997E7,10
Mitchel Sawayn,feliz,sacando,221571.42,N,1.0002304469999997E7,10
Mitchel Sawayn,feliz,depositando,1223603.32,N,1.1225907789999997E7,10
Rachelle Kris,feliz,sacando,180345.37,N,1.1045562419999998E7,10
Rachelle Kris,feliz,depositando,1303990.82,N,1.2349553239999998E7,10
Ms. Kenneth Mosciski,feliz,sacando,244937.91,N,1.2104615329999998E7,10
Ms. Kenneth Mosciski,feliz,depositando,1025048.17,N,1.3129663499999998E7,10
Annemarie Weissnat DDS,feliz,sacando,335435.2,N,1.2794228299999999E7,10
Annemarie Weissnat DDS,feliz,depositando,899788.76,N,1.3694017059999999E7,10
Ms. Kenneth Mosciski,feliz,sacando,76855.95,N,1.361716111E7,10
Ms. Kenneth Mosciski,feliz,depositando,1512455.98,N,1.512961709E7,10
Rachelle Kris,feliz,sacando,1929995.24,N,1.319962185E7,10
Rachelle Kris,feliz,depositando,2855244.01,N,1.605486586E7,10
Mitchel Sawayn,feliz,sacando,718091.71,N,1.5336774149999999E7,10
Mitchel Sawayn,feliz,depositando,2695367.61,N,1.8032141759999998E7,10
Rolf Windler,feliz,sacando,266058.87,N,1.7766082889999997E7,10
Rolf Windler,feliz,depositando,1027853.4,N,1.8793936289999995E7,10
Mr. Huong O'Hara,feliz,sacando,276425.85,N,1.8517510439999994E7,10
Mr. Huong O'Hara,feliz,depositando,541297.27,N,1.9058807709999993E7,10
Shawnda Lynch Sr.,feliz,sacando,1696938.62,N,1.7361869089999992E7,10
Shawnda Lynch Sr.,feliz,depositando,370313.91,N,1.7732182999999993E7,10
Cassi Waters,feliz,sacando,990747.16,N,1.6741435839999992E7,10
Cassi Waters,feliz,depositando,1660650.1,N,1.8402085939999994E7,10
Ada Ruecker,feliz,sacando,54989.78,N,1.8347096159999993E7,10
Ada Ruecker,feliz,depositando,305381.21,N,1.8652477369999994E7,10
Andrew McDermott,feliz,sacando,839001.67,N,1.781347569999999E7,10
Andrew McDermott,feliz,depositando,408926.09,N,1.822240178999999E7,10
Ada Ruecker,feliz,sacando,3045328.66,N,1.5177073129999992E7,10
Ada Ruecker,feliz,depositando,3370825.19,N,1.8547898319999993E7,10
Cassi Waters,feliz,sacando,1925516.02,N,1.6622382299999993E7,10
Cassi Waters,feliz,depositando,1749518.63,N,1.8371900929999992E7,10
Shawnda Lynch Sr.,feliz,sacando,1929758.69,N,1.6442142239999993E7,10
Shawnda Lynch Sr.,feliz,depositando,3818756.76,N,2.0260898999999993E7,10
Mr. Huong O'Hara,feliz,sacando,1319165.27,N,1.8941733729999993E7,10
Mr. Huong O'Hara,feliz,depositando,4314180.76,N,2.3255914489999995E7,10
Rolf Windler,feliz,sacando,2159707.81,N,2.1096206679999996E7,10
Rolf Windler,feliz,depositando,2062257.54,N,2.3158464219999995E7,10
Mitchel Sawayn,feliz,sacando,2552195.68,N,2.0606268539999995E7,10
Mitchel Sawayn,feliz,depositando,1830968.0,N,2.2437236539999995E7,10
Rachelle Kris,feliz,sacando,816060.8,N,2.1621175739999995E7,10
Rachelle Kris,feliz,depositando,2653732.93,N,2.4274908669999994E7,10
Ms. Kenneth Mosciski,feliz,sacando,2994526.21,N,2.1280382459999993E7,10
Ms. Kenneth Mosciski,feliz,depositando,3097898.86,N,2.4378281319999993E7,10
Annemarie Weissnat DDS,feliz,sacando,2349621.1,N,2.202866021999999E7,10
Annemarie Weissnat DDS,feliz,depositando,3416115.4,N,2.544477561999999E7,10
Ms. Kenneth Mosciski,feliz,sacando,3000182.72,N,2.244459289999999E7,10
Ms. Kenneth Mosciski,feliz,depositando,4435738.78,N,2.6880331679999992E7,10
Rachelle Kris,feliz,sacando,2094625.11,N,2.4785706569999993E7,10
Rachelle Kris,feliz,depositando,1341191.52,N,2.6126898089999992E7,10
Mitchel Sawayn,feliz,sacando,749124.62,N,2.537777346999999E7,10
